
=== GRAPH INFO ===
Nodi: 150326
Archi: 330170
Duration (sec): 152407963 = 4y in interval [1610801512, 1763209475]
Delta (sec): 231174 = 2d16h12min54s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 37019

size 121 → 2 pattern
size 122 → 1 pattern
size 123 → 5 pattern
size 124 → 2 pattern
size 125 → 4 pattern
size 126 → 1 pattern
size 127 → 1 pattern
size 128 → 4 pattern
size 129 → 6 pattern
size 130 → 2 pattern
size 131 → 3 pattern
size 132 → 2 pattern
size 134 → 2 pattern
size 135 → 3 pattern
size 136 → 1 pattern
size 138 → 2 pattern
size 139 → 2 pattern
size 140 → 2 pattern
size 141 → 2 pattern
size 142 → 1 pattern
size 143 → 3 pattern
size 144 → 1 pattern
size 145 → 4 pattern
size 147 → 2 pattern
size 148 → 1 pattern
size 149 → 2 pattern
size 150 → 2 pattern
size 151 → 4 pattern
size 152 → 2 pattern
size 153 → 3 pattern
size 154 → 2 pattern
size 155 → 1 pattern
size 157 → 1 pattern
size 158 → 4 pattern
size 159 → 2 pattern
size 160 → 2 pattern
size 161 → 1 pattern
size 162 → 1 pattern
size 163 → 1 pattern
size 164 → 1 pattern
size 165 → 3 pattern
size 167 → 1 pattern
size 168 → 3 pattern
size 169 → 4 pattern
size 170 → 3 pattern
size 171 → 1 pattern
size 172 → 1 pattern
size 173 → 3 pattern
size 174 → 2 pattern
size 176 → 1 pattern
size 178 → 1 pattern
size 179 → 2 pattern
size 182 → 1 pattern
size 183 → 4 pattern
size 184 → 1 pattern
size 186 → 1 pattern
size 188 → 2 pattern
size 190 → 3 pattern
size 191 → 2 pattern
size 192 → 3 pattern
size 194 → 2 pattern
size 195 → 2 pattern
size 196 → 3 pattern
size 197 → 1 pattern
size 200 → 1 pattern
size 201 → 1 pattern
size 202 → 1 pattern
size 203 → 1 pattern
size 204 → 1 pattern
size 207 → 1 pattern
size 210 → 1 pattern
size 213 → 1 pattern
size 215 → 3 pattern
size 216 → 1 pattern
size 219 → 1 pattern
size 220 → 1 pattern
size 222 → 2 pattern
size 223 → 1 pattern
size 224 → 2 pattern
size 225 → 1 pattern
size 227 → 1 pattern
size 232 → 2 pattern
size 233 → 1 pattern
size 237 → 1 pattern
size 239 → 1 pattern
size 240 → 1 pattern
size 243 → 1 pattern
size 244 → 1 pattern
size 248 → 1 pattern
size 251 → 1 pattern
size 252 → 3 pattern
size 254 → 1 pattern
size 255 → 2 pattern
size 258 → 1 pattern
size 260 → 3 pattern
size 261 → 1 pattern
size 266 → 1 pattern
size 267 → 1 pattern
size 272 → 1 pattern
size 276 → 1 pattern
size 279 → 2 pattern
size 281 → 3 pattern
size 282 → 1 pattern
size 285 → 1 pattern
size 286 → 1 pattern
size 287 → 1 pattern
size 289 → 1 pattern
size 290 → 1 pattern
size 294 → 1 pattern
size 295 → 1 pattern
size 296 → 1 pattern
size 297 → 2 pattern
size 298 → 1 pattern
size 299 → 2 pattern
size 302 → 1 pattern
size 304 → 1 pattern
size 305 → 1 pattern
size 306 → 2 pattern
size 307 → 1 pattern
size 310 → 2 pattern
size 315 → 1 pattern
size 318 → 1 pattern
size 319 → 2 pattern
size 321 → 1 pattern
size 323 → 1 pattern
size 325 → 1 pattern
size 326 → 1 pattern
size 328 → 1 pattern
size 331 → 1 pattern
size 337 → 1 pattern
size 340 → 1 pattern
size 345 → 1 pattern
size 346 → 1 pattern
size 349 → 2 pattern
size 355 → 1 pattern
size 356 → 1 pattern
size 361 → 1 pattern
size 364 → 1 pattern
size 366 → 1 pattern
size 367 → 1 pattern
size 369 → 1 pattern
size 372 → 1 pattern
size 375 → 2 pattern
size 376 → 1 pattern
size 380 → 1 pattern
size 384 → 2 pattern
size 385 → 1 pattern
size 386 → 1 pattern
size 388 → 1 pattern
size 389 → 1 pattern
size 393 → 1 pattern
size 397 → 1 pattern
size 398 → 2 pattern
size 401 → 1 pattern
size 407 → 1 pattern
size 410 → 1 pattern
size 411 → 1 pattern
size 412 → 1 pattern
size 419 → 1 pattern
size 424 → 1 pattern
size 427 → 1 pattern
size 428 → 2 pattern
size 431 → 1 pattern
size 440 → 1 pattern
size 445 → 1 pattern
size 458 → 1 pattern
size 460 → 1 pattern
size 470 → 1 pattern
size 473 → 1 pattern
size 476 → 1 pattern
size 484 → 1 pattern
size 491 → 1 pattern
size 496 → 2 pattern
size 498 → 1 pattern
size 508 → 1 pattern
size 515 → 1 pattern
size 517 → 1 pattern
size 521 → 1 pattern
size 524 → 1 pattern
size 526 → 1 pattern
size 527 → 1 pattern
size 529 → 1 pattern
size 548 → 1 pattern
size 552 → 1 pattern
size 557 → 1 pattern
size 558 → 1 pattern
size 570 → 1 pattern
size 581 → 1 pattern
size 584 → 1 pattern
size 591 → 1 pattern
size 594 → 1 pattern
size 601 → 1 pattern
size 604 → 1 pattern
size 606 → 1 pattern
size 608 → 1 pattern
size 612 → 1 pattern
size 620 → 1 pattern
size 623 → 1 pattern
size 624 → 1 pattern
size 636 → 1 pattern
size 641 → 1 pattern
size 642 → 1 pattern
size 643 → 1 pattern
size 651 → 1 pattern
size 662 → 1 pattern
size 689 → 1 pattern
size 691 → 1 pattern
size 702 → 1 pattern
size 720 → 1 pattern
size 741 → 1 pattern
size 751 → 1 pattern
size 761 → 1 pattern
size 763 → 1 pattern
size 813 → 1 pattern
size 838 → 1 pattern
size 887 → 1 pattern
size 925 → 1 pattern
size 937 → 1 pattern
size 983 → 1 pattern
size 997 → 1 pattern
size 1035 → 1 pattern
size 1055 → 1 pattern
size 1132 → 1 pattern
size 1183 → 1 pattern
size 1211 → 1 pattern
size 1275 → 1 pattern
size 1419 → 1 pattern
size 1428 → 1 pattern
size 1448 → 1 pattern
size 1453 → 1 pattern
size 1469 → 1 pattern
size 1514 → 1 pattern
size 1634 → 1 pattern
size 1746 → 1 pattern
size 1786 → 1 pattern
size 1885 → 1 pattern
size 1899 → 1 pattern
size 1975 → 1 pattern
size 2567 → 1 pattern
size 4053 → 1 pattern
size 4485 → 1 pattern
Contiguous

=== SameNFTChain Counts by Size (grouped by size) ===
Totale pattern: 8049

size 2 → 7718 pattern
size 3 → 272 pattern
size 4 → 41 pattern
size 5 → 10 pattern
size 6 → 4 pattern
size 7 → 3 pattern
size 16 → 1 pattern

=== SameNFTCycle Counts by Size (grouped by size) ===
Totale pattern: 3983

size 2 → 1500 pattern
size 3 → 353 pattern
size 4 → 200 pattern
size 5 → 161 pattern
size 6 → 108 pattern
size 7 → 89 pattern
size 8 → 53 pattern
size 9 → 54 pattern
size 10 → 53 pattern
size 11 → 54 pattern
size 12 → 42 pattern
size 13 → 42 pattern
size 14 → 25 pattern
size 15 → 37 pattern
size 16 → 27 pattern
size 17 → 20 pattern
size 18 → 29 pattern
size 19 → 23 pattern
size 20 → 15 pattern
size 21 → 19 pattern
size 22 → 17 pattern
size 23 → 21 pattern
size 24 → 15 pattern
size 25 → 15 pattern
size 26 → 21 pattern
size 27 → 18 pattern
size 28 → 8 pattern
size 29 → 9 pattern
size 30 → 15 pattern
size 31 → 13 pattern
size 32 → 7 pattern
size 33 → 8 pattern
size 34 → 8 pattern
size 35 → 5 pattern
size 36 → 10 pattern
size 37 → 10 pattern
size 38 → 7 pattern
size 39 → 13 pattern
size 40 → 9 pattern
size 41 → 9 pattern
size 42 → 5 pattern
size 43 → 7 pattern
size 44 → 9 pattern
size 45 → 10 pattern
size 46 → 4 pattern
size 47 → 6 pattern
size 48 → 5 pattern
size 49 → 7 pattern
size 50 → 7 pattern
size 51 → 8 pattern
size 52 → 8 pattern
size 53 → 2 pattern
size 54 → 3 pattern
size 55 → 7 pattern
size 56 → 6 pattern
size 57 → 10 pattern
size 58 → 6 pattern
size 59 → 4 pattern
size 60 → 2 pattern
size 61 → 4 pattern
size 62 → 3 pattern
size 63 → 6 pattern
size 64 → 3 pattern
size 65 → 4 pattern
size 66 → 2 pattern
size 67 → 2 pattern
size 68 → 4 pattern
size 69 → 8 pattern
size 70 → 4 pattern
size 71 → 4 pattern
size 72 → 4 pattern
size 73 → 5 pattern
size 74 → 2 pattern
size 75 → 3 pattern
size 76 → 1 pattern
size 77 → 2 pattern
size 78 → 3 pattern
size 79 → 2 pattern
size 81 → 5 pattern
size 82 → 1 pattern
size 83 → 8 pattern
size 84 → 2 pattern
size 85 → 4 pattern
size 86 → 2 pattern
size 87 → 3 pattern
size 88 → 5 pattern
size 89 → 7 pattern
size 90 → 2 pattern
size 91 → 2 pattern
size 92 → 2 pattern
size 93 → 5 pattern
size 94 → 2 pattern
size 95 → 2 pattern
size 96 → 8 pattern
size 97 → 4 pattern
size 98 → 4 pattern
size 99 → 3 pattern
size 100 → 1 pattern
size 101 → 1 pattern
size 102 → 2 pattern
size 103 → 3 pattern
size 104 → 2 pattern
size 105 → 2 pattern
size 106 → 1 pattern
size 107 → 2 pattern
size 108 → 3 pattern
size 109 → 3 pattern
size 110 → 4 pattern
size 111 → 2 pattern
size 112 → 1 pattern
size 113 → 1 pattern
size 114 → 4 pattern
size 115 → 2 pattern
size 116 → 1 pattern
size 117 → 2 pattern
size 118 → 1 pattern
size 119 → 1 pattern
size 120 → 2 pattern
size 121 → 3 pattern
size 125 → 2 pattern
size 127 → 3 pattern
size 128 → 3 pattern
size 129 → 1 pattern
size 131 → 3 pattern
size 132 → 2 pattern
size 133 → 1 pattern
size 134 → 1 pattern
size 135 → 3 pattern
size 137 → 1 pattern
size 138 → 4 pattern
size 139 → 2 pattern
size 140 → 2 pattern
size 141 → 1 pattern
size 142 → 2 pattern
size 143 → 1 pattern
size 144 → 2 pattern
size 145 → 1 pattern
size 146 → 2 pattern
size 148 → 1 pattern
size 149 → 1 pattern
size 150 → 1 pattern
size 152 → 2 pattern
size 153 → 1 pattern
size 154 → 1 pattern
size 155 → 1 pattern
size 156 → 1 pattern
size 157 → 3 pattern
size 158 → 4 pattern
size 159 → 3 pattern
size 160 → 2 pattern
size 161 → 1 pattern
size 162 → 2 pattern
size 163 → 1 pattern
size 164 → 1 pattern
size 165 → 1 pattern
size 166 → 1 pattern
size 167 → 1 pattern
size 168 → 5 pattern
size 169 → 1 pattern
size 170 → 1 pattern
size 173 → 2 pattern
size 174 → 3 pattern
size 175 → 4 pattern
size 176 → 3 pattern
size 177 → 1 pattern
size 178 → 1 pattern
size 179 → 1 pattern
size 180 → 1 pattern
size 181 → 1 pattern
size 182 → 2 pattern
size 183 → 1 pattern
size 184 → 1 pattern
size 186 → 1 pattern
size 187 → 2 pattern
size 189 → 2 pattern
size 191 → 1 pattern
size 192 → 1 pattern
size 194 → 2 pattern
size 197 → 1 pattern
size 200 → 1 pattern
size 202 → 5 pattern
size 203 → 1 pattern
size 204 → 1 pattern
size 205 → 3 pattern
size 206 → 1 pattern
size 207 → 1 pattern
size 210 → 1 pattern
size 211 → 1 pattern
size 213 → 1 pattern
size 216 → 1 pattern
size 217 → 1 pattern
size 219 → 3 pattern
size 221 → 1 pattern
size 223 → 2 pattern
size 224 → 1 pattern
size 228 → 2 pattern
size 229 → 2 pattern
size 230 → 2 pattern
size 231 → 1 pattern
size 232 → 1 pattern
size 233 → 1 pattern
size 234 → 2 pattern
size 236 → 1 pattern
size 237 → 1 pattern
size 238 → 1 pattern
size 242 → 2 pattern
size 244 → 1 pattern
size 246 → 3 pattern
size 247 → 1 pattern
size 248 → 1 pattern
size 249 → 2 pattern
size 250 → 1 pattern
size 251 → 1 pattern
size 252 → 3 pattern
size 254 → 2 pattern
size 256 → 1 pattern
size 258 → 2 pattern
size 259 → 1 pattern
size 262 → 1 pattern
size 264 → 1 pattern
size 265 → 1 pattern
size 266 → 1 pattern
size 267 → 5 pattern
size 268 → 1 pattern
size 269 → 1 pattern
size 271 → 1 pattern
size 272 → 2 pattern
size 273 → 2 pattern
size 274 → 1 pattern
size 275 → 1 pattern
size 276 → 1 pattern
size 278 → 2 pattern
size 279 → 1 pattern
size 280 → 1 pattern
size 281 → 1 pattern
size 283 → 1 pattern
size 284 → 1 pattern
size 286 → 1 pattern
size 287 → 1 pattern
size 290 → 1 pattern
size 291 → 2 pattern
size 294 → 1 pattern
size 295 → 2 pattern
size 296 → 2 pattern
size 297 → 2 pattern
size 300 → 2 pattern
size 303 → 2 pattern
size 305 → 2 pattern
size 306 → 1 pattern
size 309 → 1 pattern
size 312 → 2 pattern
size 313 → 1 pattern
size 315 → 1 pattern
size 317 → 1 pattern
size 320 → 1 pattern
size 324 → 1 pattern
size 325 → 1 pattern
size 327 → 1 pattern
size 330 → 2 pattern
size 332 → 2 pattern
size 333 → 3 pattern
size 335 → 1 pattern
size 336 → 1 pattern
size 337 → 1 pattern
size 339 → 1 pattern
size 341 → 1 pattern
size 343 → 1 pattern
size 344 → 1 pattern
size 345 → 1 pattern
size 346 → 1 pattern
size 348 → 2 pattern
size 349 → 1 pattern
size 351 → 1 pattern
size 352 → 1 pattern
size 354 → 1 pattern
size 357 → 2 pattern
size 358 → 1 pattern
size 359 → 1 pattern
size 360 → 2 pattern
size 364 → 1 pattern
size 365 → 1 pattern
size 367 → 2 pattern
size 368 → 1 pattern
size 369 → 2 pattern
size 370 → 1 pattern
size 372 → 1 pattern
size 374 → 2 pattern
size 375 → 1 pattern
size 376 → 1 pattern
size 379 → 2 pattern
size 381 → 1 pattern
size 385 → 1 pattern
size 389 → 1 pattern
size 393 → 1 pattern
size 396 → 2 pattern
size 408 → 1 pattern
size 409 → 1 pattern
size 413 → 1 pattern
size 416 → 1 pattern
size 423 → 1 pattern
size 424 → 1 pattern
size 427 → 1 pattern
size 430 → 1 pattern
size 432 → 1 pattern
size 433 → 2 pattern
size 435 → 1 pattern
size 436 → 1 pattern
size 437 → 1 pattern
size 447 → 1 pattern
size 453 → 1 pattern
size 454 → 1 pattern
size 456 → 2 pattern
size 458 → 1 pattern
size 460 → 1 pattern
size 462 → 1 pattern
size 463 → 1 pattern
size 466 → 1 pattern
size 467 → 1 pattern
size 468 → 1 pattern
size 471 → 1 pattern
size 472 → 1 pattern
size 478 → 2 pattern
size 479 → 3 pattern
size 482 → 1 pattern
size 483 → 2 pattern
size 485 → 1 pattern
size 491 → 1 pattern
size 492 → 2 pattern
size 497 → 1 pattern
size 499 → 1 pattern
size 500 → 1 pattern
size 501 → 1 pattern
size 504 → 2 pattern
size 506 → 1 pattern
size 507 → 1 pattern
size 509 → 1 pattern
size 516 → 1 pattern
size 517 → 2 pattern
size 519 → 2 pattern
size 522 → 1 pattern
size 526 → 1 pattern
size 527 → 1 pattern
size 529 → 2 pattern
size 533 → 2 pattern
size 534 → 1 pattern
size 537 → 1 pattern
size 538 → 2 pattern
size 539 → 1 pattern
size 550 → 1 pattern
size 564 → 1 pattern
size 568 → 1 pattern
size 570 → 2 pattern
size 571 → 1 pattern
size 573 → 1 pattern
size 574 → 1 pattern
size 578 → 1 pattern
size 581 → 1 pattern
size 587 → 1 pattern
size 590 → 1 pattern
size 598 → 1 pattern
size 606 → 1 pattern
size 611 → 1 pattern
size 613 → 1 pattern
size 623 → 1 pattern
size 624 → 1 pattern
size 632 → 1 pattern
size 637 → 1 pattern
size 640 → 2 pattern
size 645 → 1 pattern
size 647 → 2 pattern
size 658 → 1 pattern
size 659 → 1 pattern
size 663 → 2 pattern
size 664 → 1 pattern
size 668 → 1 pattern
size 669 → 1 pattern
size 678 → 1 pattern
size 682 → 1 pattern
size 712 → 1 pattern
size 714 → 2 pattern
size 716 → 1 pattern
size 717 → 1 pattern
size 720 → 1 pattern
size 731 → 1 pattern
size 732 → 1 pattern
size 748 → 1 pattern
size 750 → 1 pattern
size 753 → 1 pattern
size 766 → 1 pattern
size 768 → 1 pattern
size 769 → 1 pattern
size 772 → 1 pattern
size 774 → 1 pattern
size 775 → 1 pattern
size 776 → 2 pattern
size 780 → 1 pattern
size 782 → 1 pattern
size 783 → 1 pattern
size 786 → 1 pattern
size 788 → 1 pattern
size 789 → 1 pattern
size 791 → 1 pattern
size 793 → 1 pattern
size 797 → 1 pattern
size 798 → 1 pattern
size 799 → 1 pattern
size 802 → 1 pattern
size 803 → 1 pattern
size 804 → 1 pattern
size 805 → 1 pattern
size 812 → 1 pattern
size 837 → 1 pattern
size 851 → 2 pattern
size 857 → 1 pattern
size 866 → 1 pattern
size 867 → 1 pattern
size 871 → 1 pattern
size 884 → 1 pattern
size 889 → 1 pattern
size 901 → 1 pattern
size 910 → 1 pattern
size 917 → 1 pattern
size 926 → 1 pattern
size 931 → 2 pattern
size 943 → 1 pattern
size 947 → 1 pattern
size 948 → 1 pattern
size 949 → 1 pattern
size 950 → 1 pattern
size 957 → 1 pattern
size 965 → 1 pattern
size 966 → 1 pattern
size 975 → 1 pattern
size 994 → 1 pattern
size 1001 → 1 pattern
size 1008 → 1 pattern
size 1015 → 1 pattern
size 1020 → 1 pattern
size 1035 → 1 pattern
size 1067 → 1 pattern
size 1073 → 1 pattern
size 1077 → 1 pattern
size 1101 → 1 pattern
size 1106 → 1 pattern
size 1115 → 1 pattern
size 1151 → 1 pattern
size 1158 → 1 pattern
size 1168 → 1 pattern
size 1172 → 1 pattern
size 1192 → 1 pattern
size 1202 → 1 pattern
size 1210 → 1 pattern
size 1243 → 1 pattern
size 1267 → 1 pattern
size 1293 → 1 pattern
size 1303 → 1 pattern
size 1308 → 1 pattern
size 1332 → 1 pattern
size 1337 → 1 pattern
size 1358 → 1 pattern
size 1365 → 1 pattern
size 1371 → 1 pattern
size 1382 → 1 pattern
size 1443 → 1 pattern
size 1449 → 1 pattern
size 1467 → 1 pattern
size 1484 → 1 pattern
size 1488 → 1 pattern
size 1512 → 1 pattern
size 1522 → 1 pattern
size 1555 → 1 pattern
size 1557 → 1 pattern
size 1569 → 1 pattern
size 1571 → 1 pattern
size 1572 → 1 pattern
size 1577 → 1 pattern
size 1584 → 1 pattern
size 1610 → 1 pattern
size 1627 → 1 pattern
size 1640 → 1 pattern
size 1661 → 1 pattern
size 1673 → 1 pattern
size 1709 → 1 pattern
size 1724 → 1 pattern
size 1749 → 1 pattern
size 1805 → 1 pattern
size 1807 → 1 pattern
size 1815 → 2 pattern
size 1823 → 1 pattern
size 1826 → 1 pattern
size 1829 → 1 pattern
size 1838 → 1 pattern
size 1866 → 1 pattern
size 1867 → 1 pattern
size 1878 → 1 pattern
size 1900 → 1 pattern
size 1935 → 1 pattern
size 1938 → 1 pattern
size 1942 → 1 pattern
size 1946 → 1 pattern
size 1987 → 1 pattern
size 2097 → 1 pattern
size 2119 → 1 pattern
size 2137 → 1 pattern
size 2191 → 1 pattern
size 2248 → 1 pattern
size 2258 → 1 pattern
size 2283 → 1 pattern
size 2322 → 1 pattern
size 2352 → 1 pattern
size 2376 → 1 pattern
size 2377 → 1 pattern
size 2390 → 1 pattern
size 2407 → 1 pattern
size 2452 → 1 pattern
size 2469 → 1 pattern
size 2540 → 1 pattern
size 2559 → 1 pattern
size 2562 → 1 pattern
size 2566 → 1 pattern
size 2598 → 1 pattern
size 2615 → 1 pattern
size 2702 → 1 pattern
size 2804 → 1 pattern
size 2830 → 1 pattern
size 2877 → 1 pattern
size 2891 → 1 pattern
size 2897 → 1 pattern
size 2908 → 1 pattern
size 3017 → 1 pattern
size 3179 → 1 pattern
size 3213 → 1 pattern
size 3287 → 1 pattern
size 3327 → 1 pattern
size 3360 → 1 pattern
size 3377 → 1 pattern
size 3485 → 1 pattern
size 3651 → 1 pattern
size 3666 → 1 pattern
size 3763 → 1 pattern
size 3861 → 1 pattern
size 3898 → 1 pattern
size 4255 → 1 pattern
size 4263 → 1 pattern
size 4321 → 1 pattern
size 4333 → 1 pattern
size 4340 → 1 pattern
size 4550 → 1 pattern
size 4915 → 1 pattern
Contiguous

=== SameNFTCycle Counts by Size (grouped by size) ===
Totale pattern: 424

size 2 → 404 pattern
size 3 → 15 pattern
size 4 → 2 pattern
size 5 → 1 pattern
size 6 → 2 pattern
