
=== GRAPH INFO ===
Nodi: 120456
Archi: 754077
Duration (sec): 195217054 = 6y in interval [1511462773, 1706679827]
Delta (sec): 195217054 = 6y2m1w2d10h57min34s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 109786

size 322 → 1 pattern
size 330 → 1 pattern
size 332 → 1 pattern
size 337 → 1 pattern
size 341 → 1 pattern
size 342 → 2 pattern
size 347 → 1 pattern
size 348 → 2 pattern
size 353 → 1 pattern
size 357 → 1 pattern
size 358 → 1 pattern
size 361 → 1 pattern
size 364 → 1 pattern
size 365 → 1 pattern
size 368 → 1 pattern
size 369 → 1 pattern
size 383 → 1 pattern
size 389 → 1 pattern
size 390 → 1 pattern
size 391 → 1 pattern
size 393 → 1 pattern
size 397 → 1 pattern
size 401 → 1 pattern
size 407 → 3 pattern
size 410 → 3 pattern
size 411 → 2 pattern
size 414 → 1 pattern
size 416 → 1 pattern
size 417 → 1 pattern
size 418 → 1 pattern
size 427 → 1 pattern
size 432 → 1 pattern
size 434 → 1 pattern
size 435 → 1 pattern
size 442 → 2 pattern
size 445 → 1 pattern
size 450 → 1 pattern
size 456 → 1 pattern
size 461 → 2 pattern
size 469 → 1 pattern
size 480 → 1 pattern
size 483 → 1 pattern
size 493 → 1 pattern
size 508 → 1 pattern
size 513 → 1 pattern
size 517 → 1 pattern
size 527 → 1 pattern
size 528 → 1 pattern
size 530 → 1 pattern
size 544 → 1 pattern
size 557 → 1 pattern
size 563 → 2 pattern
size 564 → 1 pattern
size 570 → 1 pattern
size 594 → 2 pattern
size 596 → 1 pattern
size 597 → 1 pattern
size 629 → 1 pattern
size 633 → 1 pattern
size 636 → 1 pattern
size 642 → 1 pattern
size 646 → 1 pattern
size 664 → 1 pattern
size 665 → 1 pattern
size 670 → 1 pattern
size 727 → 1 pattern
size 749 → 1 pattern
size 754 → 1 pattern
size 765 → 1 pattern
size 770 → 1 pattern
size 775 → 1 pattern
size 780 → 1 pattern
size 781 → 1 pattern
size 787 → 1 pattern
size 789 → 1 pattern
size 798 → 1 pattern
size 800 → 1 pattern
size 811 → 1 pattern
size 821 → 1 pattern
size 976 → 1 pattern
size 984 → 1 pattern
size 1004 → 1 pattern
size 1035 → 1 pattern
size 1042 → 1 pattern
size 1101 → 1 pattern
size 1116 → 1 pattern
size 1157 → 1 pattern
size 1177 → 1 pattern
size 1213 → 2 pattern
size 1233 → 1 pattern
size 1291 → 1 pattern
size 1358 → 1 pattern
size 1546 → 1 pattern
size 1695 → 1 pattern
size 1793 → 1 pattern
size 1899 → 1 pattern
size 1989 → 1 pattern
size 2046 → 1 pattern
size 2137 → 1 pattern
size 2284 → 1 pattern
size 2345 → 1 pattern
size 2541 → 1 pattern
size 3173 → 1 pattern
size 3988 → 1 pattern
size 4725 → 1 pattern

=== GiveAndTake Counts by Size (grouped by size) ===
Totale pattern: 21662

size 2 → 18444 pattern
size 4 → 2403 pattern
size 6 → 516 pattern
size 8 → 178 pattern
size 10 → 43 pattern
size 12 → 26 pattern
size 14 → 21 pattern
size 16 → 12 pattern
size 18 → 8 pattern
size 22 → 2 pattern
size 24 → 3 pattern
size 30 → 1 pattern
size 42 → 1 pattern
size 56 → 1 pattern
size 102 → 1 pattern
size 114 → 1 pattern
size 362 → 1 pattern

=== ReceiveAndForward Counts by Size (grouped by size) ===
Totale pattern: 30070

size 2 → 26655 pattern
size 4 → 2613 pattern
size 6 → 535 pattern
size 8 → 147 pattern
size 10 → 46 pattern
size 12 → 23 pattern
size 14 → 24 pattern
size 16 → 11 pattern
size 18 → 3 pattern
size 20 → 1 pattern
size 22 → 1 pattern
size 24 → 3 pattern
size 26 → 1 pattern
size 28 → 1 pattern
size 42 → 1 pattern
size 52 → 1 pattern
size 62 → 1 pattern
size 90 → 1 pattern
size 114 → 1 pattern
size 300 → 1 pattern

=== ReceiveAndForwardNFT Counts by Size (grouped by size) ===
Totale pattern: 4294

size 2 → 3627 pattern
size 4 → 381 pattern
size 6 → 159 pattern
size 8 → 61 pattern
size 10 → 22 pattern
size 12 → 14 pattern
size 14 → 16 pattern
size 16 → 8 pattern
size 18 → 4 pattern
size 22 → 1 pattern
size 24 → 1 pattern

=== DATASETNFT INFO ===
NFTs: 602757
Archi: 754077
Delta (sec): 195217054


=== SameNFTChain Counts by Size (grouped by size) ===
Totale pattern: 111762

size 2 → 89059 pattern
size 3 → 17907 pattern
size 4 → 3756 pattern
size 5 → 775 pattern
size 6 → 174 pattern
size 7 → 36 pattern
size 8 → 21 pattern
size 9 → 7 pattern
size 10 → 5 pattern
size 11 → 2 pattern
size 12 → 1 pattern
size 13 → 2 pattern
size 18 → 1 pattern
size 615 → 1 pattern
size 620 → 1 pattern
size 644 → 1 pattern
size 646 → 1 pattern
size 647 → 1 pattern
size 663 → 1 pattern
size 667 → 1 pattern
size 668 → 1 pattern
size 669 → 1 pattern
size 671 → 1 pattern
size 683 → 1 pattern
size 685 → 1 pattern
size 691 → 1 pattern
size 699 → 1 pattern
size 705 → 1 pattern
size 716 → 1 pattern
Contiguous

=== SameNFTChain Counts by Size (grouped by size) ===
Totale pattern: 52228

size 2 → 45747 pattern
size 3 → 5101 pattern
size 4 → 710 pattern
size 5 → 150 pattern
size 6 → 58 pattern
size 7 → 31 pattern
size 8 → 34 pattern
size 9 → 31 pattern
size 10 → 28 pattern
size 11 → 28 pattern
size 12 → 28 pattern
size 13 → 21 pattern
size 14 → 20 pattern
size 15 → 12 pattern
size 16 → 16 pattern
size 17 → 16 pattern
size 18 → 14 pattern
size 19 → 19 pattern
size 20 → 13 pattern
size 21 → 4 pattern
size 22 → 15 pattern
size 23 → 4 pattern
size 24 → 7 pattern
size 25 → 10 pattern
size 26 → 7 pattern
size 27 → 8 pattern
size 28 → 5 pattern
size 29 → 5 pattern
size 30 → 8 pattern
size 31 → 3 pattern
size 32 → 5 pattern
size 33 → 2 pattern
size 34 → 1 pattern
size 35 → 2 pattern
size 36 → 5 pattern
size 37 → 3 pattern
size 38 → 5 pattern
size 39 → 1 pattern
size 40 → 3 pattern
size 41 → 3 pattern
size 42 → 1 pattern
size 43 → 1 pattern
size 44 → 1 pattern
