
=== GRAPH INFO ===
Nodi: 29490
Archi: 259733
Duration (sec): 227659473 = 7y in interval [1535634554, 1763294027]
Delta (sec): 227659473 = 7y2m2w5d22h44min33s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 18137

size 2 → 5999 pattern
size 3 → 2678 pattern
size 4 → 2094 pattern
size 5 → 1077 pattern
size 6 → 934 pattern
size 7 → 537 pattern
size 8 → 530 pattern
size 9 → 378 pattern
size 10 → 419 pattern
size 11 → 255 pattern
size 12 → 316 pattern
size 13 → 183 pattern
size 14 → 186 pattern
size 15 → 159 pattern
size 16 → 165 pattern
size 17 → 97 pattern
size 18 → 134 pattern
size 19 → 73 pattern
size 20 → 160 pattern
size 21 → 90 pattern
size 22 → 75 pattern
size 23 → 66 pattern
size 24 → 103 pattern
size 25 → 119 pattern
size 26 → 56 pattern
size 27 → 47 pattern
size 28 → 45 pattern
size 29 → 52 pattern
size 30 → 54 pattern
size 31 → 33 pattern
size 32 → 38 pattern
size 33 → 24 pattern
size 34 → 38 pattern
size 35 → 28 pattern
size 36 → 41 pattern
size 37 → 36 pattern
size 38 → 24 pattern
size 39 → 21 pattern
size 40 → 26 pattern
size 41 → 17 pattern
size 42 → 23 pattern
size 43 → 13 pattern
size 44 → 21 pattern
size 45 → 19 pattern
size 46 → 20 pattern
size 47 → 10 pattern
size 48 → 12 pattern
size 49 → 9 pattern
size 50 → 30 pattern
size 51 → 14 pattern
size 52 → 16 pattern
size 53 → 12 pattern
size 54 → 14 pattern
size 55 → 11 pattern
size 56 → 12 pattern
size 57 → 14 pattern
size 58 → 7 pattern
size 59 → 7 pattern
size 60 → 11 pattern
size 61 → 13 pattern
size 62 → 3 pattern
size 63 → 5 pattern
size 64 → 10 pattern
size 65 → 5 pattern
size 66 → 9 pattern
size 67 → 2 pattern
size 68 → 6 pattern
size 69 → 3 pattern
size 70 → 10 pattern
size 71 → 9 pattern
size 72 → 3 pattern
size 73 → 5 pattern
size 74 → 7 pattern
size 75 → 4 pattern
size 76 → 3 pattern
size 77 → 9 pattern
size 78 → 6 pattern
size 79 → 4 pattern
size 80 → 3 pattern
size 81 → 5 pattern
size 82 → 3 pattern
size 83 → 6 pattern
size 84 → 2 pattern
size 85 → 10 pattern
size 86 → 4 pattern
size 87 → 3 pattern
size 88 → 5 pattern
size 89 → 8 pattern
size 90 → 1 pattern
size 91 → 4 pattern
size 92 → 6 pattern
size 93 → 3 pattern
size 94 → 2 pattern
size 95 → 5 pattern
size 96 → 3 pattern
size 97 → 4 pattern
size 98 → 2 pattern
size 99 → 4 pattern
size 100 → 7 pattern
size 101 → 5 pattern
size 102 → 3 pattern
size 103 → 3 pattern
size 104 → 2 pattern
size 105 → 1 pattern
size 106 → 6 pattern
size 107 → 6 pattern
size 108 → 4 pattern
size 109 → 5 pattern
size 110 → 3 pattern
size 111 → 4 pattern
size 112 → 5 pattern
size 113 → 2 pattern
size 114 → 1 pattern
size 115 → 3 pattern
size 116 → 1 pattern
size 118 → 1 pattern
size 119 → 6 pattern
size 120 → 2 pattern
size 121 → 2 pattern
size 122 → 1 pattern
size 125 → 1 pattern
size 126 → 1 pattern
size 127 → 1 pattern
