
=== GRAPH INFO ===
Nodi: 191928
Archi: 717436
Duration (sec): 152483117 = 4y in interval [1610801082, 1763284199]
Delta (sec): 1920 = 32min


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 60979

=== GiveAndTake Counts by Size (grouped by size) ===
Totale pattern: 4080

size 2 → 3829 pattern
size 4 → 173 pattern
size 6 → 36 pattern
size 8 → 13 pattern
size 10 → 14 pattern
size 12 → 2 pattern
size 14 → 2 pattern
size 16 → 1 pattern
size 18 → 4 pattern
size 20 → 3 pattern
size 22 → 2 pattern
size 32 → 1 pattern

=== ReceiveAndForward Counts by Size (grouped by size) ===
Totale pattern: 12441

size 2 → 12125 pattern
size 4 → 242 pattern
size 6 → 34 pattern
size 8 → 18 pattern
size 10 → 7 pattern
size 12 → 4 pattern
size 14 → 1 pattern
size 16 → 1 pattern
size 18 → 4 pattern
size 20 → 4 pattern
size 32 → 1 pattern

=== ReceiveAndForwardNFT Counts by Size (grouped by size) ===
Totale pattern: 11054

size 2 → 10816 pattern
size 4 → 195 pattern
size 6 → 25 pattern
size 8 → 7 pattern
size 10 → 5 pattern
size 12 → 2 pattern
size 14 → 1 pattern
size 20 → 2 pattern
size 32 → 1 pattern

=== DATASETNFT INFO ===
NFTs: 121686
Archi: 717436
Delta (sec): 1920


=== SameNFTChain Counts by Size (grouped by size) ===
Totale pattern: 49897

size 2 → 22162 pattern
size 3 → 7231 pattern
size 4 → 4448 pattern
size 5 → 3218 pattern
size 6 → 2289 pattern
size 7 → 1556 pattern
size 8 → 1224 pattern
size 9 → 944 pattern
size 10 → 766 pattern
size 11 → 635 pattern
size 12 → 534 pattern
size 13 → 414 pattern
size 14 → 328 pattern
size 15 → 304 pattern
size 16 → 285 pattern
size 17 → 239 pattern
size 18 → 228 pattern
size 19 → 186 pattern
size 20 → 175 pattern
size 21 → 163 pattern
size 22 → 119 pattern
size 23 → 137 pattern
size 24 → 121 pattern
size 25 → 88 pattern
size 26 → 94 pattern
size 27 → 93 pattern
size 28 → 82 pattern
size 29 → 76 pattern
size 30 → 93 pattern
size 31 → 63 pattern
size 32 → 62 pattern
size 33 → 70 pattern
size 34 → 48 pattern
size 35 → 44 pattern
size 36 → 54 pattern
size 37 → 39 pattern
size 38 → 48 pattern
size 39 → 40 pattern
size 40 → 50 pattern
size 41 → 33 pattern
size 42 → 43 pattern
size 43 → 32 pattern
size 44 → 23 pattern
size 45 → 28 pattern
size 46 → 31 pattern
size 47 → 30 pattern
size 48 → 23 pattern
size 49 → 23 pattern
size 50 → 32 pattern
size 51 → 21 pattern
