
=== GRAPH INFO ===
Nodi: 166197
Archi: 466073
Duration (sec): 152407963 = 4y in interval [1610801512, 1763209475]
Delta (sec): 151237903 = 4y9m2w6d10h31min43s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 54644

size 39 → 16 pattern
size 40 → 15 pattern
size 41 → 21 pattern
size 42 → 19 pattern
size 43 → 16 pattern
size 44 → 15 pattern
size 45 → 22 pattern
size 46 → 18 pattern
size 47 → 13 pattern
size 48 → 17 pattern
size 49 → 19 pattern
size 50 → 22 pattern
size 51 → 17 pattern
size 52 → 23 pattern
size 53 → 15 pattern
size 54 → 23 pattern
size 55 → 22 pattern
size 56 → 14 pattern
size 57 → 18 pattern
size 58 → 13 pattern
size 59 → 10 pattern
size 60 → 11 pattern
size 61 → 12 pattern
size 62 → 10 pattern
size 63 → 12 pattern
size 64 → 8 pattern
size 65 → 8 pattern
size 66 → 15 pattern
size 67 → 9 pattern
size 68 → 11 pattern
size 69 → 8 pattern
size 70 → 6 pattern
size 71 → 14 pattern
size 72 → 6 pattern
size 73 → 13 pattern
size 74 → 8 pattern
size 75 → 12 pattern
size 76 → 5 pattern
size 77 → 7 pattern
size 78 → 5 pattern
size 79 → 11 pattern
size 80 → 5 pattern
size 81 → 5 pattern
size 82 → 9 pattern
size 83 → 5 pattern
size 84 → 7 pattern
size 85 → 6 pattern
size 86 → 4 pattern
size 87 → 2 pattern
size 88 → 6 pattern
size 89 → 1 pattern
size 90 → 7 pattern
size 91 → 4 pattern
size 92 → 5 pattern
size 93 → 4 pattern
size 94 → 6 pattern
size 95 → 1 pattern
size 96 → 5 pattern
size 97 → 4 pattern
size 98 → 4 pattern
size 99 → 8 pattern
size 100 → 2 pattern
size 102 → 4 pattern
size 103 → 6 pattern
size 104 → 4 pattern
size 105 → 2 pattern
size 106 → 3 pattern
size 107 → 4 pattern
size 108 → 3 pattern
size 109 → 2 pattern
size 110 → 1 pattern
size 111 → 2 pattern
size 112 → 6 pattern
size 113 → 2 pattern
size 114 → 3 pattern
size 117 → 5 pattern
size 118 → 3 pattern
size 120 → 2 pattern
size 121 → 6 pattern
size 122 → 1 pattern
size 123 → 2 pattern
size 124 → 2 pattern
size 126 → 2 pattern
size 127 → 3 pattern
size 128 → 2 pattern
size 129 → 4 pattern
size 130 → 1 pattern
size 131 → 2 pattern
size 132 → 3 pattern
size 133 → 2 pattern
size 134 → 3 pattern
size 135 → 5 pattern
size 136 → 3 pattern
size 137 → 2 pattern
size 138 → 1 pattern
size 139 → 4 pattern
size 140 → 3 pattern
size 141 → 4 pattern
size 143 → 3 pattern
size 145 → 5 pattern
size 146 → 2 pattern
size 147 → 2 pattern
size 149 → 2 pattern
size 150 → 2 pattern
size 152 → 1 pattern
size 153 → 6 pattern
size 154 → 1 pattern
size 155 → 2 pattern
size 156 → 4 pattern
size 157 → 1 pattern
size 158 → 1 pattern
size 159 → 1 pattern
size 161 → 3 pattern
size 162 → 2 pattern
size 163 → 4 pattern
size 164 → 3 pattern
size 165 → 1 pattern
size 166 → 3 pattern
size 167 → 1 pattern
size 169 → 2 pattern
size 170 → 1 pattern
size 171 → 1 pattern
size 172 → 1 pattern
size 173 → 2 pattern
size 174 → 1 pattern
size 175 → 4 pattern
size 176 → 1 pattern
size 177 → 1 pattern
size 178 → 1 pattern
size 181 → 3 pattern
size 182 → 1 pattern
size 183 → 2 pattern
size 184 → 2 pattern
size 185 → 1 pattern
size 186 → 2 pattern
size 187 → 1 pattern
size 188 → 5 pattern
size 189 → 3 pattern
size 190 → 2 pattern
size 191 → 1 pattern
size 192 → 3 pattern
size 193 → 4 pattern
size 194 → 1 pattern
size 195 → 2 pattern
size 197 → 3 pattern
size 198 → 3 pattern
size 199 → 4 pattern
size 200 → 2 pattern
size 201 → 1 pattern
size 202 → 2 pattern
size 203 → 2 pattern
size 204 → 3 pattern
size 206 → 4 pattern
size 207 → 1 pattern
size 208 → 2 pattern
size 209 → 3 pattern
size 210 → 2 pattern
size 211 → 3 pattern
size 212 → 1 pattern
size 214 → 2 pattern
size 215 → 2 pattern
size 216 → 3 pattern
size 217 → 3 pattern
size 218 → 4 pattern
size 219 → 3 pattern
size 220 → 2 pattern
size 221 → 2 pattern
size 222 → 3 pattern
size 223 → 3 pattern
size 224 → 1 pattern
size 225 → 2 pattern
size 226 → 1 pattern
size 227 → 3 pattern
size 228 → 3 pattern
size 230 → 1 pattern
size 231 → 2 pattern
size 232 → 3 pattern
size 234 → 1 pattern
size 238 → 1 pattern
size 240 → 4 pattern
size 241 → 3 pattern
size 243 → 2 pattern
size 244 → 1 pattern
size 246 → 2 pattern
size 247 → 2 pattern
size 248 → 1 pattern
size 249 → 2 pattern
size 252 → 1 pattern
size 253 → 1 pattern
size 254 → 1 pattern
size 256 → 2 pattern
size 257 → 1 pattern
size 258 → 2 pattern
size 259 → 1 pattern
size 260 → 1 pattern
size 263 → 1 pattern
size 265 → 1 pattern
size 266 → 1 pattern
size 267 → 2 pattern
size 270 → 2 pattern
size 271 → 1 pattern
size 276 → 1 pattern
size 277 → 1 pattern
size 282 → 1 pattern
size 283 → 1 pattern
size 285 → 1 pattern
size 286 → 2 pattern
size 290 → 1 pattern
size 294 → 1 pattern
size 296 → 3 pattern
size 297 → 1 pattern
size 298 → 1 pattern
size 300 → 1 pattern
size 302 → 1 pattern
size 305 → 3 pattern
size 308 → 1 pattern
size 309 → 1 pattern
size 310 → 1 pattern
size 311 → 1 pattern
size 313 → 2 pattern
size 316 → 1 pattern
size 321 → 1 pattern
size 324 → 1 pattern
size 325 → 1 pattern
size 327 → 1 pattern
size 329 → 1 pattern
size 330 → 1 pattern
size 332 → 1 pattern
size 335 → 1 pattern
size 338 → 1 pattern
size 339 → 2 pattern
size 342 → 1 pattern
size 344 → 1 pattern
size 352 → 1 pattern
size 356 → 1 pattern
size 358 → 1 pattern
size 359 → 1 pattern
size 367 → 1 pattern
size 370 → 1 pattern
size 375 → 1 pattern
size 378 → 2 pattern
size 386 → 1 pattern
size 390 → 1 pattern
size 394 → 1 pattern
size 396 → 1 pattern
size 404 → 1 pattern
size 409 → 1 pattern
size 415 → 3 pattern
size 418 → 1 pattern
size 419 → 1 pattern
size 425 → 1 pattern
size 443 → 2 pattern
size 445 → 1 pattern
size 447 → 1 pattern
size 449 → 1 pattern
size 450 → 1 pattern
size 451 → 2 pattern
size 453 → 2 pattern
size 462 → 1 pattern
size 468 → 1 pattern
size 470 → 1 pattern
size 473 → 1 pattern
size 477 → 2 pattern
size 478 → 1 pattern
size 479 → 1 pattern
size 484 → 1 pattern
size 486 → 1 pattern
size 487 → 1 pattern
size 492 → 1 pattern
size 516 → 1 pattern
size 518 → 1 pattern
size 534 → 2 pattern
size 545 → 1 pattern
size 553 → 1 pattern
size 557 → 1 pattern
size 563 → 1 pattern
size 570 → 1 pattern
size 574 → 1 pattern
size 577 → 1 pattern
size 583 → 1 pattern
size 584 → 1 pattern
size 596 → 1 pattern
size 598 → 1 pattern
size 601 → 2 pattern
size 604 → 1 pattern
size 607 → 1 pattern
size 611 → 1 pattern
size 612 → 2 pattern
size 614 → 1 pattern
size 620 → 1 pattern
size 623 → 1 pattern
size 631 → 1 pattern
size 633 → 1 pattern
size 637 → 1 pattern
size 640 → 1 pattern
size 643 → 1 pattern
size 645 → 1 pattern
size 651 → 1 pattern
size 652 → 1 pattern
size 655 → 1 pattern
size 657 → 1 pattern
size 658 → 1 pattern
size 661 → 2 pattern
size 665 → 1 pattern
size 667 → 1 pattern
size 668 → 1 pattern
size 681 → 1 pattern
size 694 → 1 pattern
size 698 → 1 pattern
size 716 → 1 pattern
size 724 → 1 pattern
size 733 → 1 pattern
size 741 → 2 pattern
size 743 → 1 pattern
size 767 → 1 pattern
size 770 → 1 pattern
size 771 → 1 pattern
size 774 → 1 pattern
size 782 → 1 pattern
size 783 → 1 pattern
size 790 → 1 pattern
size 791 → 1 pattern
size 795 → 1 pattern
size 800 → 2 pattern
size 808 → 1 pattern
size 827 → 1 pattern
size 831 → 1 pattern
size 834 → 1 pattern
size 840 → 1 pattern
size 842 → 1 pattern
size 855 → 1 pattern
size 857 → 1 pattern
size 878 → 1 pattern
size 887 → 1 pattern
size 888 → 1 pattern
size 897 → 1 pattern
size 899 → 1 pattern
size 901 → 1 pattern
size 915 → 1 pattern
size 920 → 1 pattern
size 923 → 1 pattern
size 925 → 2 pattern
size 929 → 1 pattern
size 947 → 1 pattern
size 951 → 2 pattern
size 952 → 1 pattern
size 963 → 1 pattern
size 975 → 1 pattern
size 977 → 1 pattern
size 980 → 1 pattern
size 984 → 1 pattern
size 987 → 1 pattern
size 991 → 1 pattern
size 992 → 1 pattern
size 996 → 1 pattern
size 999 → 1 pattern
size 1008 → 1 pattern
size 1011 → 1 pattern
size 1013 → 1 pattern
size 1018 → 2 pattern
size 1019 → 1 pattern
size 1022 → 2 pattern
size 1024 → 1 pattern
size 1026 → 1 pattern
size 1032 → 1 pattern
size 1035 → 1 pattern
size 1036 → 1 pattern
size 1037 → 1 pattern
size 1038 → 2 pattern
size 1040 → 1 pattern
size 1042 → 1 pattern
size 1044 → 1 pattern
size 1045 → 1 pattern
size 1046 → 1 pattern
size 1048 → 3 pattern
size 1049 → 1 pattern
size 1052 → 2 pattern
size 1053 → 1 pattern
