Collection,p25,p50,p75,p100,dur
aiA,221,3024,41260,170998,170997
dE,1354,2161,2998,3902,3899
dL,3298,19391,30871,70658,70280
dN,2152,4657,7357,13470,13470
sbL,1307,11734,25601,80807,80815
