k,aiA,dE,dL,dN,sbL
2,3015,1916,17958,4635,10642
3,9,202,1086,19,810
4,0,40,306,3,126
5,0,2,14,0,10
6,0,1,7,0,144
8,0,0,1,0,0
10,0,0,4,0,0
12,0,0,2,0,0
13,0,0,2,0,0
14,0,0,2,0,0
16,0,0,2,0,1
17,0,0,1,0,0
18,0,0,0,0,1
20,0,0,2,0,0
30,0,0,2,0,0
51,0,0,2,0,0
