Collection,p25,p50,p75,p100,dur
aiA,0,0,1,476,475
dA,106,221,3954,9683,9678
dE,76,72,72,72,72
dL,0,0,0,0,0
dN,0,0,0,0,0
sbA,44966,42288,28596,5619,5617
sbL,36,36,36,72,72
