Collection,p25,p50,p75,p100,dur
aiA,0.0000,0.0000,0.0000,0.0028,0.0028
dA,0.1900,0.0786,0.3433,0.4902,0.4922
dE,0.0561,0.0333,0.0240,0.0185,0.0185
dL,0.0000,0.0000,0.0000,0.0000,0.0000
dN,0.0000,0.0000,0.0000,0.0000,0.0000
sbA,0.9740,0.9341,0.9215,0.8016,0.8015
sbL,0.0275,0.0031,0.0014,0.0009,0.0009
