Collection,p25,p50,p75,p100,dur
aiA,0,0,0,16,16
dA,0,0,3,289,289
dE,6,6,6,6,6
dL,0,0,0,0,0
dN,0,0,0,0,0
sbA,304,1242,4169,8562,8562
sbL,0,0,0,0,0
