k,aiA,dE,dL,dN,sbL
1,0,0,0,0,0
2,1360,88,11963,26,1182
3,0,1,138,0,28
4,0,1,19,0,305
5,0,0,0,0,1
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,0,0
15,0,0,0,0,0
16,0,0,0,0,0
17,0,0,0,0,0
18,0,0,0,0,1
19,0,0,0,0,0
20,0,0,0,0,0
