Collection,p25,p50,p75,p100,dur
aiA,33732,40503,50923,71677,71677
dE,977,1085,1112,1273,1273
dL,1454,2488,4228,5511,5511
dN,437,1612,1029,1498,1498
sbL,602,1795,4177,5706,5706
