k,aiA,dE,dL,dN,sbL
2,1189,590,1327,2399,3799
4,10,20,34,534,107
6,1,7,3,122,13
8,0,1,0,54,1
10,0,2,0,15,1
16,0,0,2,0,0
18,0,0,0,0,1
32,0,0,0,0,1
