k,aiA,dE,dL,dN,sbL
1,0,0,0,0,0
2,0.9908,0.9516,0.9714,0.7679,0.9684
4,0.9992,0.9839,0.9963,0.9389,0.9957
6,1.0000,0.9952,0.9985,0.9779,0.9990
8,-1,0.9968,-1,0.9952,0.9992
10,-1,1.0000,-1,1.0000,0.9995
16,-1,-1,1.0000,-1,-1
18,-1,-1,-1,-1,0.9997
32,-1,-1,-1,-1,1.0000
6,0,-1,-1,-1,-1
10,-1,0,-1,-1,-1
16,-1,-1,0,-1,-1
10,-1,-1,-1,0,-1
32,-1,-1,-1,-1,0
