k,aiA,dE,dL,dN,sbL
1,0,0,0,0,0
2,1.0000,0.9778,0.9870,1.0000,0.7792
3,-1,0.9889,0.9984,-1,0.7976
4,-1,1.0000,1.0000,-1,0.9987
5,-1,-1,-1,-1,0.9993
18,-1,-1,-1,-1,1.0000
2,0,-1,-1,-1,-1
4,-1,0,-1,-1,-1
4,-1,-1,0,-1,-1
2,-1,-1,-1,0,-1
18,-1,-1,-1,-1,0
