Collection,p25,p50,p75,p100,dur
aiA,0.0000,0.0000,0.0000,0.0001,0.0001
dA,0.0000,0.0000,0.0375,0.4923,0.4923
dE,0.2609,0.0667,0.0274,0.0111,0.0111
dL,0.0000,0.0000,0.0000,0.0000,0.0000
dN,0.0000,0.0000,0.0000,0.0000,0.0000
sbA,0.9838,0.8432,0.8583,0.8925,0.8925
sbL,0.0000,0.0000,0.0000,0.0000,0.0000
