Collection,p25,p50,p75,p100,dur
aiA,107770,129097,138397,124858,124858
dE,1565,2068,2334,2387,2387
dL,18099,13350,12210,12488,12488
dN,5462,6364,4340,3852,3852
sbL,20497,17948,16778,16926,16926
